scientific_name,latitude,longitude,timestamp_occ,timestamp_round,lat_round,lon_round,timestamp_ocean
Harpiliopsis depressa,10.86,72.18,2018-05-03,2018-05-03,10.86,72.18,
Saron marmoratus,10.86,72.18,2018-05-03,2018-05-03,10.86,72.18,
Coralliocaris superba,10.86,72.18,2018-05-03,2018-05-03,10.86,72.18,
Ophiomastix elegans,10.861,72.21,2019-05-28,2019-05-28,10.86,72.21,
Ophiarachnella septimspinosa,10.866,72.207,2019-11-06,2019-11-06,10.87,72.21,
Ophiothrix (Acanthophiothrix) purpurea,10.866,72.207,2019-11-06,2019-11-06,10.87,72.21,
Ophiomastix elegans,10.866,72.207,2019-11-06,2019-11-06,10.87,72.21,
Himerometra robustipinna,10.861,72.21,2019-05-28,2019-05-28,10.86,72.21,
Dichrometra palmata,10.861,72.21,2019-05-28,2019-05-28,10.86,72.21,
Comanthus wahlbergii,10.861,72.21,2019-05-28,2019-05-28,10.86,72.21,
Comaster schlegelii,10.869,72.206,2018-11-10,2018-11-10,10.87,72.21,
Himerometra robustipinna,10.869,72.206,2018-11-10,2018-11-10,10.87,72.21,
Dichrometra palmata,10.869,72.206,2018-11-10,2018-11-10,10.87,72.21,
Comanthus wahlbergii,10.869,72.206,2018-11-10,2018-11-10,10.87,72.21,
Comaster schlegelii,11.131,72.717,2018-05-06,2018-05-06,11.13,72.72,
Himerometra robustipinna,10.867,72.167,2018-12-12,2018-12-12,10.87,72.17,
Fromia monilis,10.861,72.21,2019-05-28,2019-05-28,10.86,72.21,
Fromia milleporella,10.861,72.21,2019-05-28,2019-05-28,10.86,72.21,
Mithrodia clavigera,10.861,72.21,2019-05-28,2019-05-28,10.86,72.21,
Aquilonastra burtoni,10.861,72.21,2019-05-28,2019-05-28,10.86,72.21,
Pearsonothuria graeffei,10.869,72.206,2018-05-07,2018-05-07,10.87,72.21,
Baeolidia moebii,10.86,72.18,2018-05-03,2018-05-03,10.86,72.18,
Phyllidia alyta,10.86,72.18,2018-05-01,2018-05-01,10.86,72.18,
Chelidonura hirundinina,10.86,72.2,2018-05-03,2018-05-03,10.86,72.2,
Phyllidiella zeylanica,10.86,72.2,2018-05-04,2018-05-04,10.86,72.2,
Phyllidiella rosans,10.87,72.17,2018-05-08,2018-05-08,10.87,72.17,
Phyllidiopsis phiphiensis,10.87,72.17,2018-05-08,2018-05-08,10.87,72.17,
Verconia norba,10.87,72.17,2018-05-08,2018-05-08,10.87,72.17,
Phyllidia marindica,10.94,72.22,2019-02-01,2019-02-01,10.94,72.22,
Halgerda tessellata,10.84,72.19,2019-02-02,2019-02-02,10.84,72.19,
Phyllidia alyta,16.21,72.09,2019-12-24,2019-12-24,16.21,72.09,
Taringa caudata,16.24,72.06,2019-05-10,2019-05-10,16.24,72.06,
Phyllidia ocellata,10.86,72.2,2018-05-07,2018-05-07,10.86,72.2,
Diniatys dubia,10.86,72.18,2018-05-03,2018-05-03,10.86,72.18,
Pseudobiceros hymanae,10.87,72.17,2018-05-03,2018-05-03,10.87,72.17,
Pseudoceros bicolor,10.87,72.18,2018-05-05,2018-05-05,10.87,72.18,
Pseudoceros bipurpureus,10.84,72.19,2019-05-06,2019-05-06,10.84,72.19,
Alpheus frontalis,10.83,72.19,,,10.83,72.19,
Alpheus lottini,10.83,72.19,,,10.83,72.19,
Alpheus sp.,10.83,72.19,,,10.83,72.19,
Hymenocera picta,10.83,72.19,,,10.83,72.19,
Echinothrix calamaris,10.5,73.0,2016-05-28,2016-05-28,10.5,73.0,
Tripneustes gratilla,10.844529,72.18395,2018-11-07,2018-11-07,10.84,72.18,
Macrophiothrix longipeda,10.559824,72.627216,2016-12-12,2016-12-12,10.56,72.63,
Macrophiothrix demessa,10.559824,72.627216,2016-12-12,2016-12-12,10.56,72.63,
Fromia milleporella,10.844529,72.18395,2018-11-06,2018-11-06,10.84,72.18,
Linckia laevigata,10.844529,72.18395,2018-11-07,2018-11-07,10.84,72.18,
Ophiocoma cynthiae,10.8455,72.1891,2019-11-06,2019-11-06,10.85,72.19,
Ophiocoma cynthiae,10.845,72.188,2019-11-06,2019-11-06,10.84,72.19,
Echinometra mathaei,10.8455,72.1891,2019-11-06,2019-11-06,10.85,72.19,
Ophiomoeris obstricta,10.547,72.64,2019-12-12,2019-12-12,10.55,72.64,
Heterocentrotus mamillatus,10.8779,72.2038,2018-11-05,2018-11-05,10.88,72.2,
Echinothrix diadema,10.849,72.188,2018-11-04,2018-11-04,10.85,72.19,
Diadema savignyi,10.849,72.188,2018-11-04,2018-11-04,10.85,72.19,
Tripneustes gratilla,10.8455,72.1891,2018-11-06,2018-11-06,10.85,72.19,
Breviturma dentata,10.8455,72.1891,2018-11-06,2018-11-06,10.85,72.19,
Asteropsis carinifera,10.849,72.188,2018-11-04,2018-11-04,10.85,72.19,
Linckia laevigata,10.849,72.188,2018-11-04,2018-11-04,10.85,72.19,
Toxopneustes pileolus,10.8455,72.1891,2018-11-06,2018-11-06,10.85,72.19,
Breviturma dentata,10.849,72.188,2018-11-04,2018-11-04,10.85,72.19,
Breviturma dentata,10.56111,72.64722,2020-02-24,2020-02-24,10.56,72.65,
Breviturma brevipes,11.48222,73.00917,2020-02-19,2020-02-19,11.48,73.01,
Culcita schmideliana,11.11889,72.71083,2020-02-18,2020-02-18,11.12,72.71,
Breviturma dentata,10.8455,72.1891,2019-11-06,2019-11-06,10.85,72.19,
Echinothrix diadema,10.8455,72.1891,2019-11-06,2019-11-06,10.85,72.19,
Diadema savignyi,10.8455,72.1891,2019-05-26,2019-05-26,10.85,72.19,
Linckia guildingi,10.844529,72.18395,2018-11-06,2018-11-06,10.84,72.18,
Breviturma pica,10.844529,72.18395,2018-11-06,2018-11-06,10.84,72.18,
Aquilonastra burtoni,18.94242,72.79306,2019-01-15,2019-01-15,18.94,72.79,
Macrophiothrix speciosa,18.94242,72.79306,2019-01-15,2019-01-15,18.94,72.79,
Amphipholis squamata,10.57,72.64,2020-02-25,2020-02-25,10.57,72.64,
Pleurobranchus peronii,10.86,72.2,2018-05-06,2018-05-06,10.86,72.2,
Dolabrifera dolabrifera,10.86,72.2,2018-05-11,2018-05-11,10.86,72.2,
Peltodoris murrea,10.86,72.2,2018-05-11,2018-05-11,10.86,72.2,
Pleurobranchus grandis,10.84,72.18,2018-05-19,2018-05-19,10.84,72.18,
Pleurobranchus forskalii,10.83,72.19,2018-05-20,2018-05-20,10.83,72.19,
Plakobranchus ocellatus,10.86,72.2,2018-11-04,2018-11-04,10.86,72.2,
Dendrodoris nigra,10.86,72.2,2018-11-04,2018-11-04,10.86,72.2,
Phestilla lugubris,10.83,72.19,2018-05-20,2018-05-20,10.83,72.19,
