scientific_name,latitude,longitude,timestamp
Harpiliopsis depressa,10.86,72.18,2018-05-03
Saron marmoratus,10.86,72.18,2018-05-03
Coralliocaris superba,10.86,72.18,2018-05-03
Ophiomastix elegans,10.861,72.21,2019-05-28
Ophiarachnella septimspinosa,10.866,72.207,2019-11-06
Ophiothrix (Acanthophiothrix) purpurea,10.866,72.207,2019-11-06
Ophiomastix elegans,10.866,72.207,2019-11-06
Himerometra robustipinna,10.861,72.21,2019-05-28
Dichrometra palmata,10.861,72.21,2019-05-28
Comanthus wahlbergii,10.861,72.21,2019-05-28
Comaster schlegelii,10.869,72.206,2018-11-10
Himerometra robustipinna,10.869,72.206,2018-11-10
Dichrometra palmata,10.869,72.206,2018-11-10
Comanthus wahlbergii,10.869,72.206,2018-11-10
Comaster schlegelii,11.131,72.717,2018-05-06
Himerometra robustipinna,10.867,72.167,2018-12-12
Fromia monilis,10.861,72.21,2019-05-28
Fromia milleporella,10.861,72.21,2019-05-28
Mithrodia clavigera,10.861,72.21,2019-05-28
Aquilonastra burtoni,10.861,72.21,2019-05-28
Pearsonothuria graeffei,10.869,72.206,2018-05-07
Baeolidia moebii,10.86,72.18,2018-05-03
Phyllidia alyta,10.86,72.18,2018-05-01
Chelidonura hirundinina,10.86,72.2,2018-05-03
Phyllidiella zeylanica,10.86,72.2,2018-05-04
Phyllidiella rosans,10.87,72.17,2018-05-08
Phyllidiopsis phiphiensis,10.87,72.17,2018-05-08
Verconia norba,10.87,72.17,2018-05-08
Phyllidia marindica,10.94,72.22,2019-02-01
Halgerda tessellata,10.84,72.19,2019-02-02
Phyllidia alyta,16.21,72.09,2019-12-24
Taringa caudata,16.24,72.06,2019-05-10
Phyllidia ocellata,10.86,72.2,2018-05-07
Diniatys dubia,10.86,72.18,2018-05-03
Pseudobiceros hymanae,10.87,72.17,2018-05-03
Pseudoceros bicolor,10.87,72.18,2018-05-05
Pseudoceros bipurpureus,10.84,72.19,2019-05-06
Alpheus frontalis,10.83,72.19,
Alpheus lottini,10.83,72.19,
Alpheus sp.,10.83,72.19,
Hymenocera picta,10.83,72.19,
Echinothrix calamaris,10.5,73.0,2016-05-28
Tripneustes gratilla,10.844529,72.18395,2018-11-07
Macrophiothrix longipeda,10.559824,72.627216,2016-12-12
Macrophiothrix demessa,10.559824,72.627216,2016-12-12
Fromia milleporella,10.844529,72.18395,2018-11-06
Linckia laevigata,10.844529,72.18395,2018-11-07
Ophiocoma cynthiae,10.8455,72.1891,2019-11-06
Ophiocoma cynthiae,10.845,72.188,2019-11-06
Echinometra mathaei,10.8455,72.1891,2019-11-06
